"iPhone 5s/6/6s/7/8 ReNew (магазин, гарантия)",7 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5s66s78_renew_magazin_garantiya_1151125761
"Б.У. iPhone SE, 6S, 7, 7+ (гарантия 90 дней)",10 500  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/b.u._iphone_se_6s_7_7_garantiya_90_dney_1589976652
Новые iPhone 7/8/X (рст на официальной гарантии),30 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/novye_iphone_78x_rst_na_ofitsialnoy_garantii_1254787178
iPhone 8,35 500  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_8_1330769229
iPhone 5s Silver 32Gb ReNew,8 990  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_5s_silver_32gb_renew_1150842611
iPhone 7 plus,22 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1524606601
iPhone 6s,13 500  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1280540137
iPhone XS max,81 190  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_xs_max_1374484789
iPhone XR,59 900  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xr_1719275169
iPhone SE (Новый),17 890  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_novyy_1560614005
iPhone XS,96 900  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_xs_980661358
iPhone SE (Новый),17 890  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_se_novyy_1573143256
iPhone 7 plus,49 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_948497186
iPhone 7,43 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1710266378
iPhone 6 (Новый),20 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6_novyy_1468936324
iPhone 6 (Новый),20 590  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_6_novyy_1412487418
iPhone 8,53 280  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_8_1064764461
iPhone 7 32 GB,21 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32_gb_1622444949
iPhone 7,19 990  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1184833998
iPhone 7 plus,49 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1392859061
iPhone 6 64гб,11 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_6_64gb_1054787498
iPhone 7,46 490  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_1557854694
iPhone 4s 64 Гб Б/У,4 000  ₽,р-н Центральный,https://www.avito.ru/chelyabinsk/telefony/iphone_4s_64_gb_bu_1458780236
iPhone 8 plus,44 990  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_8_plus_986954685
"iPhone 7, 32 gb, чёрный в идеальном состоянии",18 000  ₽,р-н Металлургический,https://www.avito.ru/chelyabinsk/telefony/iphone_7_32_gb_chernyy_v_idealnom_sostoyanii_1435844783
iPhone 8 (Новый),52 990  ₽,р-н Калининский,https://www.avito.ru/chelyabinsk/telefony/iphone_8_novyy_1436412960
iPhone 7 Plus,25 000  ₽,,https://www.avito.ru/chelyabinsk/telefony/iphone_7_plus_1293003459
iPhone 6s,13 490  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_6s_1345064479
"iPhone 7,6s,6,SE,5s, RFB",7 700  ₽,р-н Советский,https://www.avito.ru/chelyabinsk/telefony/iphone_76s6se5s_rfb_1268207848
